epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09705,0.96727,3.30189,1.5241,0.00543,0.98913,0.11439,0.07183,0.73693,3.32805,1.62274,5e-05,5e-05,5e-05
2,5.83102,0.90456,3.23863,1.48855,0.00655,0.98913,0.22351,0.13944,0.95308,3.36975,1.79767,0.000111386,0.000111386,0.000111386
3,8.66756,0.72803,3.01359,1.34814,0.01257,0.98913,0.26247,0.17807,0.71327,3.30486,1.53114,0.000171535,0.000171535,0.000171535
4,11.4959,0.64916,2.76278,1.28332,0.01641,0.97826,0.31827,0.21786,0.73108,3.29561,1.55926,0.000230446,0.000230446,0.000230446
5,14.3861,0.64691,2.44922,1.23766,0.00899,0.98913,0.46463,0.29548,0.91509,3.29704,1.72211,0.00028812,0.00028812,0.00028812
6,17.2575,0.69715,2.19764,1.28722,0.00764,0.97826,0.51561,0.36737,0.70438,3.19442,1.48379,0.000344556,0.000344556,0.000344556
7,20.1003,0.66954,1.89769,1.27136,0.00624,1,0.51517,0.37949,0.76374,3.14173,1.54813,0.000399755,0.000399755,0.000399755
8,22.9278,0.68564,1.64458,1.27843,0.00543,1,0.54341,0.38036,0.90231,3.12404,1.75294,0.000453716,0.000453716,0.000453716
9,25.7526,0.6609,1.42275,1.23904,0.00573,1,0.41674,0.25927,1.02954,3.16582,1.91293,0.00050644,0.00050644,0.00050644
10,28.5401,0.68129,1.32707,1.26541,0.74501,0.11957,0.59971,0.36679,0.86713,3.01805,1.71002,0.000557926,0.000557926,0.000557926
11,31.3343,0.6494,1.25419,1.23687,0.00635,0.97826,0.66495,0.5218,0.76288,3.00416,1.55216,0.000608175,0.000608175,0.000608175
12,34.1646,0.68839,1.21872,1.22929,0.93991,0.31633,0.86312,0.6196,0.93804,2.88135,1.83466,0.000657186,0.000657186,0.000657186
13,36.9956,0.66548,1.19327,1.23499,1,0.09823,0.55211,0.32428,1.04331,2.96846,2.10194,0.00070496,0.00070496,0.00070496
14,39.8002,0.64691,1.10642,1.23232,0.57783,0.48323,0.4098,0.20495,1.33421,3.11165,2.52912,0.000751496,0.000751496,0.000751496
15,42.6013,0.68266,1.14673,1.24314,0.77318,0.23811,0.39617,0.22195,1.30879,2.89361,2.33968,0.000796795,0.000796795,0.000796795
16,45.4073,0.6781,1.10125,1.23174,0.47749,0.29482,0.3921,0.18458,1.37374,2.92758,2.59595,0.000840856,0.000840856,0.000840856
17,48.2199,0.65592,1.08861,1.23773,0.73611,0.20385,0.2558,0.12154,1.64987,3.16285,3.93525,0.00088368,0.00088368,0.00088368
18,51.0304,0.72609,1.12416,1.25753,0.45748,0.44874,0.32153,0.18218,1.08901,3.07109,2.33322,0.000925266,0.000925266,0.000925266
19,53.8331,0.7261,1.13098,1.27007,0.38483,0.2879,0.37062,0.22418,1.07998,2.87999,2.2351,0.000965615,0.000965615,0.000965615
20,56.6493,0.70765,1.05715,1.24277,0.42181,0.29725,0.37508,0.16878,1.23137,2.87657,2.46121,0.00100473,0.00100473,0.00100473
21,59.4672,0.68908,1.03196,1.23828,0.70864,0.15754,0.19138,0.04522,1.69109,3.48519,3.07715,0.0010025,0.0010025,0.0010025
22,62.266,0.68511,0.99787,1.23738,0.86132,0.09783,0.16757,0.04791,2.03041,3.26293,3.21309,0.000990125,0.000990125,0.000990125
23,65.0743,0.74148,1.01903,1.29846,0.19412,0.08537,0.1558,0.05473,1.8313,3.33954,3.25125,0.00097775,0.00097775,0.00097775
24,67.8751,0.73667,1.0543,1.29452,0.23824,0.37389,0.16662,0.08119,1.58949,3.19451,2.90712,0.000965375,0.000965375,0.000965375
25,70.6611,0.70393,0.95934,1.25289,0.71707,0.36774,0.29031,0.16125,1.17857,2.86829,2.20602,0.000953,0.000953,0.000953
26,73.4429,0.70925,0.954,1.2825,0.25291,0.44696,0.23391,0.10211,1.30386,3.22606,2.53514,0.000940625,0.000940625,0.000940625
27,76.2477,0.70958,0.88562,1.25277,0.42795,0.66625,0.45213,0.27439,1.22296,2.32656,2.68575,0.00092825,0.00092825,0.00092825
28,79.0568,0.71836,0.87977,1.2724,0.43307,0.44041,0.45519,0.23045,1.47985,1.9911,2.89521,0.000915875,0.000915875,0.000915875
29,81.865,0.65432,0.84779,1.2243,0.42135,0.42625,0.49442,0.24961,1.73048,2.10099,3.40269,0.0009035,0.0009035,0.0009035
30,84.6657,0.65131,0.81162,1.22392,0.79257,0.4196,0.5118,0.28325,1.50984,1.94722,2.66528,0.000891125,0.000891125,0.000891125
31,87.4628,0.64762,0.8071,1.21151,0.49773,0.43592,0.50617,0.3059,1.61001,1.86274,3.27034,0.00087875,0.00087875,0.00087875
32,90.2652,0.65806,0.82074,1.21955,0.81046,0.49389,0.54671,0.31741,1.32789,1.76794,2.61369,0.000866375,0.000866375,0.000866375
